22	177.3	22.4	54.9	93.0	74.3
21	165.9	17.4	66.4	79.8	71.6
4	174.0	18.1	66.7	88.8	66.2
0	166.4	15.9	41.0	87.5	78.5
16	169.6	22.2	58.1	78.8	70.9
19	176.6	15.4	64.8	89.0	63.1
1	177.4	18.6	29.0	80.8	63.0
2	169.9	15.3	30.1	72.4	56.7
0	174.9	22.9	60.9	83.4	65.1
13	172.5	16.7	58.0	74.3	77.0
17	172.6	21.2	36.2	83.8	66.1
7	176.0	17.3	47.5	87.2	50.0
15	168.6	17.2	84.6	78.7	69.3
9	169.8	27.9	42.1	94.8	71.3
1	173.8	21.5	53.7	75.0	58.3
6	169.4	21.0	56.0	78.3	52.3
12	171.5	19.2	64.7	78.4	72.9
16	161.7	19.6	47.6	none	69.6
9	175.0	15.0	24.7	66.1	55.4
21	157.8	19.9	39.3	89.8	51.3
8	168.6	18.5	37.8	75.9	63.8
16	174.0	25.8	62.1	73.1	53.5
2	162.0	none	55.6	73.8	61.3
6	160.4	19.9	38.0	78.7	70.7
3	175.6	21.7	40.5	83.4	55.6
4	167.3	none	63.0	88.8	57.7
7	157.9	18.8	38.3	73.7	54.9
10	170.2	21.5	44.7	70.4	66.0
14	176.1	21.7	31.4	79.0	56.0
0	162.2	22.1	8.5	85.5	32.9
13	170.4	18.8	56.8	89.2	69.1
6	184.1	20.8	23.8	81.6	39.1
3	172.7	17.6	45.8	69.2	76.7
0	166.3	20.2	64.1	92.3	64.0
8	166.7	16.8	57.0	88.1	47.6
7	168.3	19.5	62.4	81.4	55.8
21	167.7	17.6	49.3	78.3	69.2
22	166.0	14.5	18.7	78.1	83.3
10	168.7	25.7	35.4	97.3	41.8
20	168.3	21.3	43.9	none	50.9
5	163.0	14.9	44.4	86.3	70.0
1	169.8	17.5	62.7	82.3	57.8
2	169.2	18.8	40.0	80.1	63.2
6	172.0	16.8	48.6	76.7	46.6
5	171.3	22.1	55.5	71.4	67.6
8	171.5	25.7	24.8	77.3	72.6
20	162.7	none	66.7	64.2	50.3
10	174.1	19.0	68.2	88.7	45.5
16	167.0	22.2	58.7	87.4	72.2
0	181.1	17.5	50.3	90.0	58.2
19	172.5	17.8	69.8	79.0	63.9
16	170.2	16.6	65.3	84.5	58.5
0	162.0	17.7	65.1	85.5	74.1
15	171.3	23.4	25.0	80.8	64.1
13	174.5	21.3	52.7	76.3	71.9
1	167.9	21.3	60.3	86.1	45.5
21	165.1	23.2	49.3	73.7	48.3
2	165.5	22.4	40.6	87.7	64.4
12	170.0	22.8	70.4	77.3	47.7
14	163.6	18.8	55.7	77.0	57.2
4	177.3	20.7	24.5	68.4	50.7
22	175.5	24.1	62.2	76.6	83.3
19	170.1	16.8	46.9	89.7	68.2
22	169.0	17.0	53.5	77.4	97.0
