2,168.5,20.1,64.5,83.2,66.0
0,169.1,24.5,50.9,75.0,83.8
1,164.7,15.3,53.8,82.7,57.6
1,165.3,22.7,35.5,81.0,36.1
2,171.1,20.0,22.7,88.1,49.3
2,161.2,20.5,52.8,69.8,51.0
1,155.6,24.1,40.0,86.8,54.4
0,166.4,27.2,59.5,82.7,52.3
1,164.5,27.7,35.1,81.5,76.0
0,173.7,17.2,72.8,73.7,48.9
3,168.9,24.6,27.1,83.0,63.2
3,176.2,20.7,49.4,76.0,51.6
2,173.3,19.7,68.3,69.7,48.6
1,174.0,15.5,36.5,76.3,69.8
3,169.0,19.4,47.6,77.6,66.8
1,168.1,20.9,41.2,74.5,32.1
2,170.1,22.1,67.6,86.1,54.6
2,168.2,15.5,70.9,89.1,65.5
1,156.3,18.7,44.8,79.8,79.6
0,167.5,18.5,45.8,89.6,50.4
3,168.2,24.2,44.0,98.2,59.2
2,168.3,19.4,48.3,78.8,56.4
0,173.9,18.8,59.8,75.9,79.1
3,164.8,20.3,41.1,85.2,51.5
2,167.4,17.8,44.5,67.4,49.9
0,166.1,17.5,60.6,78.6,81.7
1,173.6,20.5,33.3,78.9,55.4
2,163.3,16.7,54.4,78.6,53.3
1,167.5,20.4,33.8,73.8,28.3
2,167.1,21.1,40.0,78.7,63.6
0,164.1,18.7,35.7,82.8,70.4
2,165.3,17.9,46.1,84.4,47.2
3,166.0,15.8,58.1,81.9,54.9
1,174.1,19.5,55.0,79.9,57.2
1,167.4,21.9,48.6,80.2,71.1
2,172.1,19.0,74.5,66.7,51.7
2,172.0,21.4,42.7,80.6,71.6
3,172.9,15.5,49.3,78.1,66.1
0,168.0,20.7,46.9,82.9,64.3
3,163.3,23.6,68.4,84.1,52.0
3,174.5,16.3,46.8,75.3,66.7
0,169.2,20.1,45.2,77.5,56.9
3,186.3,15.8,31.9,70.0,46.7
0,164.7,22.5,56.9,82.4,47.3
1,164.5,24.0,30.8,71.6,45.1
0,174.4,22.6,72.9,72.6,55.4
3,167.1,18.8,36.3,81.0,50.4
0,170.3,21.9,52.2,82.5,60.6
0,174.7,24.8,25.9,86.3,68.1
0,164.7,20.8,35.0,82.0,60.7
0,165.1,15.4,46.4,75.3,49.3
2,170.7,18.3,41.2,85.9,51.4
0,174.0,25.8,49.5,77.2,56.4
1,167.3,19.2,58.1,75.8,48.6
0,168.4,20.7,53.2,78.5,49.1
1,175.6,20.0,61.6,80.5,46.7
3,166.0,19.0,52.1,96.0,61.4
0,167.3,19.6,62.7,88.2,60.1
1,167.1,22.3,67.0,73.0,62.5
0,169.1,16.4,60.3,70.1,56.5
0,174.8,21.0,72.3,87.9,56.9
2,163.8,18.9,43.8,83.4,57.9
1,175.6,19.8,67.6,84.0,61.4
1,166.2,29.6,42.7,73.8,50.5
1,170.0,22.1,46.8,65.7,55.9
2,174.8,22.0,50.4,76.4,60.4
0,161.6,16.1,42.6,76.0,56.8
2,169.3,19.8,43.3,83.4,71.4
1,161.9,23.8,39.9,84.7,55.2
3,170.2,21.3,39.1,87.4,50.7
3,172.1,20.5,56.4,82.5,48.8
0,166.9,15.3,25.5,85.8,50.3
0,181.8,19.1,68.3,81.4,59.9
1,171.3,17.0,54.9,73.3,57.2
0,171.3,16.0,38.0,75.9,70.6
3,167.6,17.5,49.1,76.9,63.1
1,170.8,20.4,39.1,80.8,53.9
0,175.8,22.4,28.8,75.7,68.2
1,174.0,18.2,56.6,75.2,49.1
2,171.9,17.6,46.6,80.4,53.7
0,169.2,25.8,66.8,72.9,74.6
1,161.1,20.3,56.9,89.2,58.2
0,183.0,20.9,35.5,81.2,74.2
0,166.0,21.1,41.3,82.7,50.2
3,173.2,24.6,30.2,76.7,64.4
1,155.7,15.2,47.4,70.6,45.4
2,165.8,15.6,42.7,81.4,78.6
2,171.1,21.9,32.7,79.6,73.4
3,169.3,22.1,55.9,75.5,64.0
3,160.5,23.3,55.1,74.2,70.6
3,174.5,16.3,12.1,83.7,64.4
3,160.3,18.1,45.2,79.4,55.8
1,167.2,20.1,41.3,76.6,62.7
3,172.1,18.6,44.2,71.8,41.1
2,162.8,18.4,71.2,85.7,64.3
0,173.6,16.2,41.8,80.5,58.7
2,172.4,20.0,29.7,84.7,67.1
2,167.4,16.6,69.9,84.5,75.6
2,168.3,18.8,53.6,81.8,54.0
0,172.4,20.3,52.3,84.2,67.1
